case_id,kn,surface_id,s_over_Lw,x_m,y_m,records,cp_dsmc,cp_dsmc_sem,cp_s3,cp_full_control,cf_dsmc,cf_dsmc_sem,cf_s3,cf_full_control
ISO_Ma6_Kn0p8,0.8,994,0.22292381397615793,0.2245,0.0135,10753,0.8371393981195503,0.007960704867374732,0.8395905681811614,0.837584650482515,0.03168325166519796,0.0020024455007308186,0.032505258732126494,0.03222259238893778
ISO_Ma6_Kn0p8,0.8,995,0.2400725909309627,0.22483350000000002,0.014499999999999999,10937,0.8834900006582302,0.009651041268131452,0.8825815253161832,0.8839921633363197,0.043539517672139864,0.0012096963197816349,0.04249353733457521,0.04328751697296414
ISO_Ma6_Kn0p8,0.8,996,0.2572187962766915,0.2251665,0.0155,11137,0.8919991043655171,0.008054484352685777,0.8926814196303559,0.8925079745234793,0.05064106748529151,0.0032548522136761847,0.04925090401752179,0.050390325746296386
ISO_Ma6_Kn0p8,0.8,997,0.2743675732314963,0.2255,0.0165,11088,0.8998259434347071,0.014206081095089786,0.8997948304103749,0.9002915049344363,0.053323990417591116,0.006393288191325949,0.05710225315485486,0.05391252027953066
ISO_Ma6_Kn0p8,0.8,998,0.29151635018630107,0.22583350000000002,0.0175,11339,0.9277026256545792,0.007285060998028291,0.9270911148978096,0.9282355424374795,0.06772121104361128,0.0034033297350646624,0.06858723868485238,0.06746883838549782
ISO_Ma6_Kn0p8,0.8,999,0.30866255553202976,0.2261665,0.0185,11452,0.9442048099651345,0.02146071769693981,0.9432897414632612,0.9447494631434254,0.07680010080000685,0.0014836568377872993,0.07800662975125887,0.07654761276484065
ISO_Ma6_Kn0p8,0.8,1000,0.3258113324868346,0.2265,0.0195,11622,0.9636468599938679,0.008304707586592101,0.9645283977967507,0.9641250541097017,0.08920573492899016,0.0050023020016795715,0.09019076082113056,0.08985167018397107
ISO_Ma6_Kn0p8,0.8,1001,0.34296010944163935,0.22683350000000002,0.0205,11638,0.9878313382654988,0.011496882880783864,0.9857266534218457,0.9884070350769729,0.10327022816106735,0.003640691878334364,0.10302636772676317,0.10301877574007819
ISO_Ma6_Kn0p8,0.8,1002,0.36010631478736804,0.2271665,0.0215,11602,0.9857819055966981,0.0114482665345363,0.9848316152460953,0.9863590020754411,0.11130552091615886,0.003996884323243398,0.11002549122482712,0.11105893828906319
ISO_Ma6_Kn0p8,0.8,1003,0.37725509174217287,0.2275,0.0225,11471,0.9890724324696525,0.004864411698630521,0.9913087010382295,0.9895464373750738,0.11860040176926598,0.004767310787880267,0.11954380392268635,0.11927734424504985
ISO_Ma6_Kn0p8,0.8,1004,0.39440386869697763,0.22783350000000002,0.0235,11791,1.0265398145506321,0.015182451570481412,1.026825252631816,1.027147722999077,0.1427965461365095,0.003883678154867881,0.1403382932698699,0.1425546053219704
ISO_Ma6_Kn0p8,0.8,1005,0.4115500740427064,0.2281665,0.0245,11553,1.020969696976687,0.013106544876227831,1.0194936438707671,1.0215755507349993,0.14532579330492862,0.0048136802361730385,0.14602748702521495,0.14508695383765008
ISO_Ma6_Kn0p8,0.8,1006,0.4286988509975112,0.2285,0.025500000000000002,11831,1.0482767014175207,0.010807703879273671,1.049124182161736,1.0487532750742086,0.16698250886257365,0.005053606714491568,0.16970080621018893,0.16772083384691555
ISO_Ma6_Kn0p8,0.8,1007,0.4458476279523159,0.22883350000000002,0.0265,11618,1.0470775340905685,0.005847977949771951,1.047738970858525,1.0477095931559757,0.18469565240566416,0.0030915331252003822,0.18337668026097634,0.18446977211255478
ISO_Ma6_Kn0p8,0.8,1008,0.46299383329804467,0.2291665,0.0275,11542,1.0685094982141734,0.008707500709621091,1.0703198681723776,1.0691574117845426,0.20204443517229662,0.0033215457936161515,0.2039492356388924,0.20182150044125172
