seed,case_id,geometry,knudsen,target,samples,nrmse_P,nrmse_S0,nrmse_S1,nrmse_S2,S1_gain_vs_S0_percent,S2_gain_vs_S1_percent
71,ISO_Ma6_Kn0p2,ISO,0.2,cf,60,0.26943727282664093,0.5782981578868595,0.6444079565967945,0.6602380035603914,-11.43178441921806,-2.456525684008858
71,ISO_Ma6_Kn0p4,ISO,0.4,cp,60,0.036309658070304694,0.08663358345607336,0.05398035923829856,0.04880996010142153,37.691185006021676,9.578297013645438
71,ISO_Ma6_Kn0p4,ISO,0.4,cf,60,0.24253965550821577,0.34057050633985086,0.4388094666159715,0.4473923721808351,-28.845410406175702,-1.9559526896841188
101,BWD_Ma6_Kn0p2,BWD,0.2,cp,60,0.027586890486404926,0.0611108144873317,0.06341892136465417,0.06362751438040555,-3.7769204954729254,-0.32891290369318127
101,BWD_Ma6_Kn0p2,BWD,0.2,cf,60,0.25668605723612564,0.314461804943899,0.45041349230884603,0.46174252059071014,-43.23313204578255,-2.515250647530748
101,BWD_Ma6_Kn0p4,BWD,0.4,cp,60,0.038076871652854095,0.05492131088132293,0.08923237430474042,0.08762800107621033,-62.47313269262412,1.797972138509889
101,BWD_Ma6_Kn0p4,BWD,0.4,cf,60,0.2072223295029398,0.208906357034076,0.2954678212338865,0.35395412186228264,-41.435533809864346,-19.794473856460858
101,FWD_Ma6_Kn0p2,FWD,0.2,cp,60,0.028668198502525912,0.0950402340282608,0.059133649517949416,0.061359926761246054,37.78040413877173,-3.7648230093102484
101,FWD_Ma6_Kn0p2,FWD,0.2,cf,60,0.5382454051493579,0.8073425406331168,0.8123692669676139,0.8011073864419733,-0.6226262189225316,1.3863006619734122
101,FWD_Ma6_Kn0p4,FWD,0.4,cp,60,0.026826939651687386,0.10565148881343976,0.05589009017167853,0.0545942535943336,47.09957162045327,2.318544438494351
101,FWD_Ma6_Kn0p4,FWD,0.4,cf,60,0.3865955789684786,0.7244388475670613,0.666623082485065,0.6743876561869271,7.9807654263936145,-1.1647622030903915
101,ISO_Ma6_Kn0p2,ISO,0.2,cp,60,0.0332274457100625,0.08923405199003338,0.034262079594781426,0.03383186851500909,61.60425439538689,1.255647890789038
101,ISO_Ma6_Kn0p2,ISO,0.2,cf,60,0.24436055734566872,0.5740599368589683,0.6643741142096545,0.6815141728232057,-15.73253445360604,-2.5798805593052245
101,ISO_Ma6_Kn0p4,ISO,0.4,cp,60,0.02477322417381876,0.08215769844121472,0.05325236442335055,0.04757983915112961,35.18274558110515,10.652156638764396
101,ISO_Ma6_Kn0p4,ISO,0.4,cf,60,0.22164983807929398,0.33940796575458326,0.4400980338726563,0.4590599547564891,-29.66638331372555,-4.308567506420512
