case_id,geometry,kn,surface_id,s_over_Lw,x_m,y_m,records,cp_dsmc,cp_dsmc_sem,cp_s3,cp_full_control,cf_dsmc,cf_dsmc_sem,cf_s3,cf_full_control,cp_independent,cp_independent_sem,cf_independent,cf_independent_sem
ISO_Ma6_Kn0p8,ISO,0.8,1018,0.6250000000000003,0.2325,0.0225,270,-0.020171869788860083,0.0007292506842644864,-0.02009066010012981,-0.02016584418106605,-0.0016570717828217302,0.0006359972070004452,-0.0016109938118594202,-0.0016658469170004765,,,,
ISO_Ma6_Kn0p8,ISO,0.8,1019,0.641666666666667,0.23283350000000003,0.0215,274,-0.018851205408456733,0.0004797214842954607,-0.019078438176861147,-0.018843143478812063,-0.0011000548893867824,0.0005329059487123117,-0.001371065911395144,-0.0010963006667447123,,,,
ISO_Ma6_Kn0p8,ISO,0.8,1020,0.6583333333333337,0.2331665,0.0205,277,-0.01858561769905666,0.0012635189251326072,-0.01881294482349662,-0.018577390451795968,-0.0012002312276347383,0.0005000112862652206,-0.0009479570478976896,-0.0011964497399045578,,,,
ISO_Ma6_Kn0p8,ISO,0.8,1021,0.6750000000000004,0.2335,0.0195,279,-0.018285468169485168,0.0009433622325476353,-0.01855233682808615,-0.018278080162041247,-0.0010581300412413623,0.0006479677514854567,-0.0007137292288288006,-0.001067713682465855,,,,
ISO_Ma6_Kn0p8,ISO,0.8,1022,0.6916666666666671,0.23383350000000003,0.0185,328,-0.016544714071219484,0.0012066935071345134,-0.016095499925380924,-0.01653564951297276,-0.00032979679392563567,0.0004681515414569405,-0.000690481324653202,-0.0003249360013443314,,,,
ISO_Ma6_Kn0p8,ISO,0.8,1023,0.7083333333333337,0.2341665,0.0175,290,-0.018114479809239404,0.00012565832556761424,-0.018219541651009512,-0.018106300481378776,-0.00016622489030041214,0.0008401591220917169,-0.00014091766896914704,-0.00016174985523604402,,,,
ISO_Ma6_Kn0p8,ISO,0.8,1024,0.7250000000000004,0.2345,0.0165,306,-0.017543749460346574,0.0003983021576913781,-0.01773305680035035,-0.01753609734615357,-0.0013262000729263885,0.00040714928931106554,-0.001024141790201653,-0.0013363745668211985,,,,
ISO_Ma6_Kn0p8,ISO,0.8,1025,0.7416666666666671,0.23483349999999997,0.0155,306,-0.01746118576370361,0.0005575481389553221,-0.017156687614392076,-0.017452124955478647,-0.0020010157365173394,0.0006649535031855484,-0.002020734691604466,-0.001997324663399232,,,,
ISO_Ma6_Kn0p8,ISO,0.8,1026,0.7583333333333337,0.2351665,0.014499999999999999,292,-0.01874207531780518,0.0005605891709096013,-0.018538168631554938,-0.018733892813173694,-0.001343979794947438,0.0004739101796213769,-0.001328594347935409,-0.0013403214752398084,,,,
ISO_Ma6_Kn0p8,ISO,0.8,1027,0.7750000000000005,0.2355,0.0135,322,-0.016280348984742003,0.0011029667715985575,-0.01606678939403668,-0.016270821147218537,0.0007555057701133943,0.000824845850268062,3.047329698653607e-05,0.0007456844422321098,,,,
ISO_Ma6_Kn0p8,ISO,0.8,1028,0.7916666666666672,0.23583349999999997,0.0125,335,-0.015490238449854398,0.001124482277772944,-0.01530290949520803,-0.015480500174779241,-0.0008303313551001768,0.0005595642389326363,-0.0007281323405398962,-0.0008254218442536283,,,,
ISO_Ma6_Kn0p8,ISO,0.8,1029,0.8083333333333338,0.2361665,0.0115,314,-0.016578032744822134,0.0009879391326338613,-0.016417175524335158,-0.016568664051056236,-0.0013704603807326772,0.0007817544911236208,-0.0013991356079262308,-0.0013661664968135636,,,,
ISO_Ma6_Kn0p8,ISO,0.8,1030,0.8250000000000005,0.2365,0.010499999999999999,319,-0.017099995978435756,0.0013829737734231324,-0.016580016106905793,-0.017091709485587483,-0.000628773688814216,0.0012506700625406918,-0.0008027123842647259,-0.0006388432472993448,,,,
ISO_Ma6_Kn0p8,ISO,0.8,1031,0.8416666666666671,0.23683349999999997,0.0095,324,-0.01602598770980379,0.0014735148819234915,-0.016073744480490947,-0.016016324120030102,-0.0015153154899261718,0.0005047959979141642,-0.0017025236953572848,-0.0015109344640218505,,,,
ISO_Ma6_Kn0p8,ISO,0.8,1032,0.8583333333333338,0.2371665,0.0085,328,-0.016031640508352357,0.0012954084232722847,-0.01595325687514746,-0.016022143824014713,-0.0009758677259662136,0.0004329770129701038,-0.0011827884627713709,-0.0009711991969163577,,,,
ISO_Ma6_Kn0p8,ISO,0.8,1033,0.8750000000000006,0.2375,0.0075,332,-0.015692240971431463,0.000983880832457413,-0.015749539566761,-0.015682853616275416,-4.25739461908201e-05,0.0005778897005524514,-0.00018395751508603407,-5.317503663920171e-05,,,,
ISO_Ma6_Kn0p8,ISO,0.8,1034,0.8916666666666672,0.23783349999999998,0.006500000000000001,321,-0.0163478659167837,0.0013625248683302967,-0.016681949268484684,-0.01633869642473012,-0.0004094735409007792,0.0005148939158820889,-0.0005794937759845657,-0.0004045996529427545,,,,
ISO_Ma6_Kn0p8,ISO,0.8,1035,0.9083333333333339,0.2381665,0.0055,314,-0.015978000493079524,0.001276133321110203,-0.016342141225282557,-0.01596845710639902,-0.0009244051939522183,0.0008300486539958767,-0.0008747425026675458,-0.0009196940815341103,,,,
ISO_Ma6_Kn0p8,ISO,0.8,1036,0.9250000000000006,0.2385,0.0045000000000000005,336,-0.015056773178579952,0.0015131556597674678,-0.015360447734285765,-0.015046971707532808,8.756320888785194e-05,0.000343665726238586,-0.0003541464081440727,7.664915831211483e-05,,,,
ISO_Ma6_Kn0p8,ISO,0.8,1037,0.9416666666666672,0.23883349999999998,0.0035,334,-0.016007580931127495,0.0002262941307180025,-0.015841898813226542,-0.01599796569403483,-0.001347454730732801,0.0006960983397866584,-7.278695114210074e-05,-0.0013429767710492907,,,,
